2016-11-22 16:10:39,252 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=24
2016-11-22 16:10:39,254 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=24
2016-11-22 16:10:39,256 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=19
2016-11-22 16:10:39,258 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=27
2016-11-22 16:10:39,259 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=24
2016-11-22 16:10:39,260 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=5
2016-11-22 16:10:39,261 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=21
2016-11-22 16:10:39,261 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=3
2016-11-22 16:10:39,261 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=3
2016-11-22 16:10:39,262 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=54
2016-11-22 16:10:39,263 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=15
2016-11-22 16:10:39,263 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=10
2016-11-22 16:10:39,264 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=53
2016-11-22 16:10:39,265 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=17
2016-11-22 16:10:39,268 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=77
2016-11-22 16:10:39,269 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=64
2016-11-22 16:10:39,270 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=11
2016-11-22 16:10:39,271 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=15
2016-11-22 16:10:39,272 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=15
2016-11-22 16:10:39,272 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=3
2016-11-22 16:10:39,273 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=11
2016-11-22 16:10:39,275 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=30
2016-11-22 16:10:39,276 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=26
2016-11-22 16:10:39,277 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=8
2016-11-22 16:10:39,279 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=49
2016-11-22 16:10:39,279 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2016-11-22 16:10:39,280 [main] INFO  marytts.PStream Global variance optimization
2016-11-22 16:10:39,281 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=25
2016-11-22 16:10:39,281 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=7
2016-11-22 16:10:39,282 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=11
2016-11-22 16:10:39,284 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=49
2016-11-22 16:10:39,284 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=6
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1 Request processed in 75 ms.
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    TextToMaryXML took 1 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    JTokeniser took 1 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    Preprocess took 1 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    OpenNLPPosTagger took 2 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    JPhonemiser took 0 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    Prosody took 1 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    PronunciationModel took 1 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    AcousticModeller took 11 ms
2016-11-22 16:10:39,289 [main] INFO  marytts.R 1    Synthesis took 57 ms
2016-11-22 16:10:39,376 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", audio "WAVE")
2016-11-22 16:10:39,376 [main] INFO  marytts.R 1 Handling request using the following modules:
2016-11-22 16:10:39,376 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2016-11-22 16:10:39,376 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 Handling request using the following modules:
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 Next module: JTokeniser
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 Next module: Preprocess
2016-11-22 16:10:39,377 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2016-11-22 16:10:39,378 [main] INFO  marytts.R 1 Next module: JPhonemiser
2016-11-22 16:10:39,378 [main] INFO  marytts.R 1 Next module: Prosody
2016-11-22 16:10:39,378 [main] INFO  marytts.R 1 Next module: PronunciationModel
2016-11-22 16:10:39,379 [main] INFO  marytts.R 1 Next module: AcousticModeller
2016-11-22 16:10:39,381 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2016-11-22 16:10:39,381 [main] INFO  marytts.PStream Global variance optimization
2016-11-22 16:10:39,381 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=1
2016-11-22 16:10:39,381 [main] INFO  marytts.R 1 Next module: Synthesis
2016-11-22 16:10:39,381 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
